"teamName","scoreHome","scoreAway","completions","throwingAttempts","hucksCompleted","hucksAttempted","blocks","turnovers","oLineScores","oLinePoints","oLinePossessions","dLineScores","dLinePoints","dLinePossessions","redZoneScores","redZonePossessions","gameID","teamID"
"AlleyCats",23,22,225,243,NA,NA,5,18,16,24,30,7,25,14,NA,NA,"2014-06-21-CIN-IND","alleycats"
"Union",22,19,219,236,NA,NA,6,17,15,24,28,4,21,11,NA,NA,"2014-06-21-CHI-MIN","union"
"Wind Chill",22,19,327,340,NA,NA,15,13,15,21,26,7,24,13,NA,NA,"2014-06-21-CHI-MIN","windchill"
"Radicals",24,19,263,277,NA,NA,12,14,15,21,27,9,26,15,NA,NA,"2014-06-20-CHI-MAD","radicals"
"Union",24,19,296,317,NA,NA,9,21,17,26,32,2,21,9,NA,NA,"2014-06-20-CHI-MAD","union"
"Spiders",24,21,206,236,NA,NA,11,30,16,23,41,8,26,16,NA,NA,"2014-06-15-SEA-SJ","spiders"
"Cascades",24,21,262,296,NA,NA,12,34,16,26,33,5,23,23,NA,NA,"2014-06-15-SEA-SJ","cascades"
"Royal",24,19,165,179,NA,NA,4,14,16,21,26,8,25,13,NA,NA,"2014-06-15-PHI-MTL","royal"
"Phoenix",24,19,288,315,NA,NA,13,27,15,26,33,4,21,16,NA,NA,"2014-06-15-PHI-MTL","phoenix"
"Royal",18,31,253,287,NA,NA,7,34,12,33,41,6,20,13,NA,NA,"2014-06-14-TOR-MTL","royal"
"Rush",18,31,262,283,NA,NA,12,21,13,20,27,18,33,28,NA,NA,"2014-06-14-TOR-MTL","rush"
"FlameThrowers",23,17,270,304,NA,NA,14,34,13,19,32,10,25,27,NA,NA,"2014-06-14-SEA-SF","flamethrowers"
"Cascades",23,17,195,235,NA,NA,13,40,12,25,41,5,19,19,NA,NA,"2014-06-14-SEA-SF","cascades"
"Phoenix",16,17,308,338,NA,NA,12,30,11,18,34,6,19,14,NA,NA,"2014-06-14-PHI-ROC","phoenix"
"Dragons",16,17,224,254,NA,NA,19,30,12,19,27,4,18,22,NA,NA,"2014-06-14-PHI-ROC","dragons"
"Breeze",31,26,276,296,NA,NA,13,20,19,28,34,12,33,19,NA,NA,"2014-06-14-NY-DC","breeze"
"Empire",31,26,257,283,NA,NA,12,26,20,33,39,6,28,15,NA,NA,"2014-06-14-NY-DC","empire"
"Wind Chill",23,15,315,343,NA,NA,13,28,11,25,36,4,17,10,NA,NA,"2014-06-14-MIN-MAD","windchill"
"Radicals",23,15,245,266,NA,NA,18,21,12,17,23,11,25,25,NA,NA,"2014-06-14-MIN-MAD","radicals"
"AlleyCats",19,27,236,260,NA,NA,14,24,13,21,26,14,29,27,NA,NA,"2014-06-14-IND-DET","alleycats"
"Mechanix",19,27,272,304,NA,NA,7,32,14,29,42,5,21,11,NA,NA,"2014-06-14-IND-DET","mechanix"
"Cascades",35,11,262,288,NA,NA,30,26,11,13,16,24,37,47,NA,NA,"2014-06-08-SLC-SEA","cascades"
"Lions",35,11,303,353,NA,NA,10,50,11,37,58,0,13,4,NA,NA,"2014-06-08-SLC-SEA","lions"
"Dragons",38,18,270,310,NA,NA,8,40,12,40,49,6,20,10,NA,NA,"2014-06-08-ROC-TOR","dragons"
"Rush",38,18,257,276,NA,NA,25,19,14,20,24,24,40,36,NA,NA,"2014-06-08-ROC-TOR","rush"
"Breeze",25,24,248,269,NA,NA,12,21,17,26,33,8,27,16,NA,NA,"2014-06-08-MTL-DC","breeze"
"Royal",25,24,293,315,NA,NA,7,22,16,27,31,8,26,16,NA,NA,"2014-06-08-MTL-DC","royal"
"Radicals",28,15,274,290,NA,NA,23,16,14,17,22,14,30,26,NA,NA,"2014-06-08-CIN-MAD","radicals"
"Revolution",28,15,102,135,NA,NA,6,33,13,30,40,2,17,8,NA,NA,"2014-06-08-CIN-MAD","revolution"
