"teamName","scoreHome","scoreAway","completions","throwingAttempts","hucksCompleted","hucksAttempted","blocks","turnovers","oLineScores","oLinePoints","oLinePossessions","dLineScores","dLinePoints","dLinePossessions","redZoneScores","redZonePossessions","gameID","teamID"
"Cascades",26,25,303,318,NA,NA,8,15,20,28,32,5,27,9,NA,NA,"2019-06-29-SEA-SD","cascades"
"Growlers",26,25,258,271,NA,NA,6,13,21,27,31,5,28,11,NA,NA,"2019-06-29-SEA-SD","growlers"
"Flyers",20,22,214,234,NA,NA,9,20,15,22,30,7,24,13,NA,NA,"2019-06-29-RAL-TB","flyers"
"Cannons",20,22,282,306,NA,NA,12,24,17,24,32,3,22,14,NA,NA,"2019-06-29-RAL-TB","cannons"
"Rush",24,26,210,229,NA,NA,10,19,21,28,32,3,26,11,NA,NA,"2019-06-29-PHI-TOR","rush"
"Phoenix",24,26,229,245,NA,NA,10,16,19,26,34,7,28,11,NA,NA,"2019-06-29-PHI-TOR","phoenix"
"Royal",19,22,244,264,NA,NA,10,20,15,24,30,4,21,11,NA,NA,"2019-06-29-NY-MTL","royal"
"Empire",19,22,232,249,NA,NA,10,17,15,21,28,7,24,14,NA,NA,"2019-06-29-NY-MTL","empire"
"AlleyCats",20,23,262,271,NA,NA,7,9,17,22,26,6,25,9,NA,NA,"2019-06-29-IND-PIT","alleycats"
"Thunderbirds",20,23,231,245,NA,NA,5,14,17,25,27,3,22,7,NA,NA,"2019-06-29-IND-PIT","thunderbirds"
"Mechanix",27,12,291,328,NA,NA,9,37,10,29,45,2,14,7,NA,NA,"2019-06-29-DET-MIN","mechanix"
"Wind Chill",27,12,205,228,NA,NA,22,23,12,14,19,15,29,34,NA,NA,"2019-06-29-DET-MIN","windchill"
"Hustle",18,15,180,204,NA,NA,9,24,12,20,37,3,17,6,NA,NA,"2019-06-29-ATL-DAL","hustle"
"Legion",18,15,253,276,NA,NA,16,23,12,17,18,6,20,23,NA,NA,"2019-06-29-ATL-DAL","legion"
"Union",18,21,286,304,NA,NA,13,18,11,20,26,10,23,15,NA,NA,"2019-06-28-CHI-MAD","union"
"Radicals",18,21,245,266,NA,NA,12,21,12,23,27,6,20,14,NA,NA,"2019-06-28-CHI-MAD","radicals"
"Rush",17,22,238,262,NA,NA,13,24,11,19,22,11,24,26,NA,NA,"2019-06-23-TOR-OTT","rush"
"Outlaws",17,22,172,201,NA,NA,13,29,11,24,38,6,19,11,NA,NA,"2019-06-23-TOR-OTT","outlaws"
"Sol",23,14,232,252,NA,NA,12,20,10,16,23,13,25,24,NA,NA,"2019-06-23-TB-AUS","sol"
"Cannons",23,14,143,173,NA,NA,9,30,10,25,34,4,17,10,NA,NA,"2019-06-23-TB-AUS","cannons"
"Rush",23,22,194,212,NA,NA,6,18,20,25,33,2,24,8,NA,NA,"2019-06-22-TOR-MTL","rush"
"Royal",23,22,227,243,NA,NA,9,16,19,24,30,4,25,13,NA,NA,"2019-06-22-TOR-MTL","royal"
"Cannons",29,22,244,276,NA,NA,11,32,18,31,40,4,24,16,NA,NA,"2019-06-22-TB-DAL","cannons"
"Legion",29,22,231,255,NA,NA,14,24,19,24,35,10,31,21,NA,NA,"2019-06-22-TB-DAL","legion"
"Growlers",25,30,257,268,NA,NA,6,11,23,27,31,7,32,13,NA,NA,"2019-06-22-SD-SEA","growlers"
"Cascades",25,30,266,283,NA,NA,6,17,21,32,36,4,27,8,NA,NA,"2019-06-22-SD-SEA","cascades"
"Phoenix",21,18,258,277,NA,NA,8,19,15,23,29,3,20,11,NA,NA,"2019-06-22-PHI-DC","phoenix"
"Breeze",21,18,254,269,NA,NA,11,15,16,20,28,5,23,11,NA,NA,"2019-06-22-PHI-DC","breeze"
"Empire",24,25,277,289,NA,NA,5,12,20,27,32,5,28,7,NA,NA,"2019-06-22-NY-RAL","empire"
"Flyers",24,25,334,344,NA,NA,6,10,20,28,28,4,27,12,NA,NA,"2019-06-22-NY-RAL","flyers"
"AlleyCats",24,23,271,282,NA,NA,9,11,20,25,31,4,26,8,NA,NA,"2019-06-22-MIN-IND","alleycats"
"Wind Chill",24,23,230,243,NA,NA,5,13,20,26,29,3,25,10,NA,NA,"2019-06-22-MIN-IND","windchill"
"Thunderbirds",21,20,281,299,NA,NA,10,18,15,22,24,6,24,15,NA,NA,"2019-06-22-MAD-PIT","thunderbirds"
"Radicals",21,20,302,319,NA,NA,12,17,13,24,33,7,22,9,NA,NA,"2019-06-22-MAD-PIT","radicals"
"Aviators",27,31,240,249,NA,NA,8,9,24,28,30,6,32,12,NA,NA,"2019-06-22-LA-SJ","aviators"
"Spiders",27,31,276,291,NA,NA,5,15,25,33,37,2,29,6,NA,NA,"2019-06-22-LA-SJ","spiders"
"Mechanix",11,24,176,209,NA,NA,6,33,11,26,41,0,14,5,NA,NA,"2019-06-22-CHI-DET","mechanix"
"Union",11,24,243,267,NA,NA,15,24,12,13,19,12,26,32,NA,NA,"2019-06-22-CHI-DET","union"
"Mechanix",24,16,186,221,NA,NA,15,35,12,26,40,4,18,12,NA,NA,"2019-06-16-DET-CHI","mechanix"
"Union",24,16,239,267,NA,NA,20,28,13,18,25,11,26,28,NA,NA,"2019-06-16-DET-CHI","union"
"Phoenix",16,21,207,231,NA,NA,10,24,13,23,38,3,18,4,NA,NA,"2019-06-16-DC-PHI","phoenix"
"Breeze",16,21,281,300,NA,NA,14,19,14,18,19,7,23,23,NA,NA,"2019-06-16-DC-PHI","breeze"
"Rush",23,22,257,277,NA,NA,8,20,17,25,34,5,24,10,NA,NA,"2019-06-15-TOR-DC","rush"
"Breeze",23,22,270,288,NA,NA,7,18,18,24,29,5,25,15,NA,NA,"2019-06-15-TOR-DC","breeze"
"Cascades",25,26,254,274,NA,NA,9,20,18,28,33,8,29,15,NA,NA,"2019-06-15-SEA-SJ","cascades"
"Spiders",25,26,239,260,NA,NA,6,21,16,29,37,9,28,13,NA,NA,"2019-06-15-SEA-SJ","spiders"
"Phoenix",19,14,227,250,NA,NA,8,23,12,21,31,2,16,8,NA,NA,"2019-06-15-PHI-NY","phoenix"
"Empire",19,14,245,263,NA,NA,17,18,13,16,22,6,21,18,NA,NA,"2019-06-15-PHI-NY","empire"
"Royal",21,22,249,276,NA,NA,11,27,14,24,33,7,23,19,NA,NA,"2019-06-15-OTT-MTL","royal"
"Outlaws",21,22,185,214,NA,NA,18,29,16,23,35,6,25,19,NA,NA,"2019-06-15-OTT-MTL","outlaws"
"Wind Chill",21,19,209,233,NA,NA,14,24,14,21,31,7,23,17,NA,NA,"2019-06-15-MAD-MIN","windchill"
"Radicals",21,19,245,272,NA,NA,15,27,14,23,32,5,21,15,NA,NA,"2019-06-15-MAD-MIN","radicals"
"Aviators",17,18,237,254,NA,NA,17,17,13,19,25,5,20,14,NA,NA,"2019-06-15-LA-SD","aviators"
"Growlers",17,18,212,232,NA,NA,13,20,13,20,28,4,19,11,NA,NA,"2019-06-15-LA-SD","growlers"
"Legion",27,18,252,274,NA,NA,10,22,16,29,37,2,20,6,NA,NA,"2019-06-15-DAL-RAL","legion"
"Flyers",27,18,245,259,NA,NA,11,14,17,20,23,10,29,20,NA,NA,"2019-06-15-DAL-RAL","flyers"
"Legion",20,25,205,219,NA,NA,12,14,17,22,27,8,27,16,NA,NA,"2019-06-14-DAL-TB","legion"
"Cannons",20,25,250,271,NA,NA,7,21,17,27,34,3,22,9,NA,NA,"2019-06-14-DAL-TB","cannons"
"Rush",19,13,148,170,NA,NA,12,22,12,15,24,7,22,20,NA,NA,"2019-06-02-MTL-TOR","rush"
"Royal",19,13,225,250,NA,NA,11,25,11,20,31,2,14,9,NA,NA,"2019-06-02-MTL-TOR","royal"
"Sol",24,25,341,363,NA,NA,11,22,17,27,35,8,27,15,NA,NA,"2019-06-02-AUS-ATL","sol"
"Hustle",24,25,212,235,NA,NA,12,23,19,27,36,5,27,14,NA,NA,"2019-06-02-AUS-ATL","hustle"
"Spiders",22,25,270,287,NA,NA,13,17,18,24,36,7,27,10,NA,NA,"2019-06-01-SJ-SEA","spiders"
"Cascades",22,25,286,311,NA,NA,12,25,19,27,30,3,24,20,NA,NA,"2019-06-01-SJ-SEA","cascades"
"Growlers",18,20,248,264,NA,NA,11,16,13,20,24,7,22,14,NA,NA,"2019-06-01-SD-LA","growlers"
"Aviators",18,20,237,255,NA,NA,9,18,14,22,28,4,20,10,NA,NA,"2019-06-01-SD-LA","aviators"
"Thunderbirds",12,17,122,129,NA,NA,5,7,11,14,16,6,19,10,NA,NA,"2019-06-01-PIT-DET","thunderbirds"
"Mechanix",12,17,136,147,NA,NA,2,11,10,19,22,2,14,4,NA,NA,"2019-06-01-PIT-DET","mechanix"
"Empire",19,20,188,205,NA,NA,7,17,13,21,28,7,22,11,NA,NA,"2019-06-01-NY-DC","empire"
"Breeze",19,20,277,294,NA,NA,10,17,13,22,25,6,21,15,NA,NA,"2019-06-01-NY-DC","breeze"
"Royal",19,21,302,313,NA,NA,7,11,17,21,24,4,23,12,NA,NA,"2019-06-01-MTL-OTT","royal"
"Outlaws",19,21,192,205,NA,NA,10,13,17,23,29,2,21,6,NA,NA,"2019-06-01-MTL-OTT","outlaws"
"AlleyCats",15,18,247,263,NA,NA,10,16,11,17,18,7,20,17,NA,NA,"2019-06-01-IND-MAD","alleycats"
"Radicals",15,18,217,235,NA,NA,9,18,9,20,29,6,17,7,NA,NA,"2019-06-01-IND-MAD","radicals"
"Wind Chill",27,26,247,256,NA,NA,7,9,23,28,30,4,29,10,NA,NA,"2019-06-01-CHI-MIN","windchill"
"Union",27,26,245,256,NA,NA,5,11,23,29,33,3,28,5,NA,NA,"2019-06-01-CHI-MIN","union"
"Sol",24,16,187,209,NA,NA,3,22,15,27,36,1,19,6,NA,NA,"2019-06-01-AUS-TB","sol"
"Cannons",24,16,249,264,NA,NA,15,15,15,18,23,9,26,19,NA,NA,"2019-06-01-AUS-TB","cannons"
"Breeze",27,17,227,242,NA,NA,15,15,18,19,25,9,29,19,NA,NA,"2019-05-26-MTL-DC","breeze"
"Royal",27,17,328,352,NA,NA,4,24,16,29,38,1,19,7,NA,NA,"2019-05-26-MTL-DC","royal"
"Mechanix",14,16,317,346,NA,NA,16,29,11,18,34,3,16,11,NA,NA,"2019-05-26-MAD-DET","mechanix"
"Radicals",14,16,172,196,NA,NA,16,24,9,16,22,7,18,22,NA,NA,"2019-05-26-MAD-DET","radicals"
"Hustle",23,14,213,224,NA,NA,11,11,13,16,17,10,25,20,NA,NA,"2019-05-25-TB-ATL","hustle"
"Cannons",23,14,265,286,NA,NA,5,21,11,25,32,3,16,4,NA,NA,"2019-05-25-TB-ATL","cannons"
"Empire",20,15,217,232,NA,NA,12,15,11,17,23,9,22,14,NA,NA,"2019-05-25-OTT-NY","empire"
"Outlaws",20,15,223,243,NA,NA,8,20,12,22,26,3,17,10,NA,NA,"2019-05-25-OTT-NY","outlaws"
"Phoenix",15,25,206,229,NA,NA,7,23,13,27,29,2,17,12,NA,NA,"2019-05-25-MTL-PHI","phoenix"
"Royal",15,25,268,282,NA,NA,12,14,14,17,26,11,27,16,NA,NA,"2019-05-25-MTL-PHI","royal"
"Wind Chill",24,17,198,224,NA,NA,10,26,15,26,36,2,19,9,NA,NA,"2019-05-25-MIN-PIT","windchill"
"Thunderbirds",24,17,327,347,NA,NA,15,20,16,19,26,8,26,20,NA,NA,"2019-05-25-MIN-PIT","thunderbirds"
"Rush",22,15,333,344,NA,NA,8,11,12,17,19,10,24,15,NA,NA,"2019-05-25-MAD-TOR","rush"
"Radicals",22,15,166,183,NA,NA,6,17,14,24,29,1,17,6,NA,NA,"2019-05-25-MAD-TOR","radicals"
"AlleyCats",18,17,280,301,NA,NA,11,21,14,20,30,3,19,10,NA,NA,"2019-05-25-IND-CHI","alleycats"
"Union",18,17,194,213,NA,NA,14,19,12,19,24,6,20,16,NA,NA,"2019-05-25-IND-CHI","union"
"Legion",20,15,178,198,NA,NA,14,20,11,17,23,9,22,19,NA,NA,"2019-05-25-AUS-DAL","legion"
"Sol",20,15,195,220,NA,NA,12,25,11,22,31,4,17,12,NA,NA,"2019-05-25-AUS-DAL","sol"
"Rush",18,16,199,229,NA,NA,16,30,12,20,36,4,18,12,NA,NA,"2019-05-19-TOR-PHI","rush"
"Phoenix",18,16,207,235,NA,NA,12,28,12,18,26,6,20,22,NA,NA,"2019-05-19-TOR-PHI","phoenix"
"Legion",28,21,214,230,NA,NA,18,16,17,23,30,11,30,17,NA,NA,"2019-05-19-TB-DAL","legion"
"Cannons",28,21,222,246,NA,NA,3,24,17,30,35,4,23,11,NA,NA,"2019-05-19-TB-DAL","cannons"
"Royal",19,20,249,268,NA,NA,9,19,14,22,27,5,20,13,NA,NA,"2019-05-19-DC-MTL","royal"
"Breeze",19,20,208,225,NA,NA,13,17,14,21,28,6,22,13,NA,NA,"2019-05-19-DC-MTL","breeze"
"Empire",22,17,215,234,NA,NA,8,19,14,19,26,8,24,18,NA,NA,"2019-05-18-TOR-NY","empire"
"Rush",22,17,223,248,NA,NA,10,25,14,25,34,3,19,11,NA,NA,"2019-05-18-TOR-NY","rush"
"Cannons",17,19,210,232,NA,NA,12,22,12,19,23,7,22,20,NA,NA,"2019-05-18-TB-AUS","cannons"
"Sol",17,19,315,339,NA,NA,11,24,13,22,35,4,19,9,NA,NA,"2019-05-18-TB-AUS","sol"
"Aviators",25,21,222,238,NA,NA,12,16,17,23,31,8,27,13,NA,NA,"2019-05-18-SJ-LA","aviators"
"Spiders",25,21,262,281,NA,NA,12,19,16,27,29,5,23,14,NA,NA,"2019-05-18-SJ-LA","spiders"
"Union",22,25,296,315,NA,NA,6,19,19,27,32,3,24,10,NA,NA,"2019-05-18-MAD-CHI","union"
"Radicals",22,25,217,232,NA,NA,13,15,18,24,30,7,27,13,NA,NA,"2019-05-18-MAD-CHI","radicals"
"AlleyCats",11,13,274,306,NA,NA,12,32,9,13,19,4,15,27,NA,NA,"2019-05-18-IND-MIN","alleycats"
"Wind Chill",11,13,155,188,NA,NA,13,33,9,15,37,2,13,9,NA,NA,"2019-05-18-IND-MIN","windchill"
"Thunderbirds",24,11,199,217,NA,NA,17,18,10,13,18,14,26,25,NA,NA,"2019-05-18-DET-PIT","thunderbirds"
"Mechanix",24,11,280,310,NA,NA,12,30,9,27,38,2,13,7,NA,NA,"2019-05-18-DET-PIT","mechanix"
"Outlaws",22,21,292,313,NA,NA,16,21,19,24,36,3,25,12,NA,NA,"2019-05-18-DC-OTT","outlaws"
"Breeze",22,21,271,293,NA,NA,12,22,19,25,32,2,24,15,NA,NA,"2019-05-18-DC-OTT","breeze"
"Hustle",25,22,219,235,NA,NA,4,16,19,27,29,3,24,10,NA,NA,"2019-05-18-ATL-RAL","hustle"
"Flyers",25,22,267,279,NA,NA,7,12,19,24,31,6,27,9,NA,NA,"2019-05-18-ATL-RAL","flyers"
"Spiders",32,20,249,266,NA,NA,3,17,18,34,37,2,22,3,NA,NA,"2019-05-17-SJ-SD","spiders"
"Growlers",32,20,315,321,NA,NA,10,6,20,22,23,12,33,17,NA,NA,"2019-05-17-SJ-SD","growlers"
"Spiders",24,19,213,226,NA,NA,8,13,16,21,24,8,26,16,NA,NA,"2019-05-11-SEA-SJ","spiders"
"Cascades",24,19,305,324,NA,NA,6,19,14,26,31,5,21,8,NA,NA,"2019-05-11-SEA-SJ","cascades"
"Growlers",21,27,296,311,NA,NA,13,15,19,23,29,8,29,15,NA,NA,"2019-05-11-SD-LA","growlers"
"Aviators",21,27,159,179,NA,NA,8,20,18,29,35,3,23,8,NA,NA,"2019-05-11-SD-LA","aviators"
"Cannons",19,24,277,296,NA,NA,4,19,14,26,31,5,21,8,NA,NA,"2019-05-11-RAL-TB","cannons"
"Flyers",19,24,222,234,NA,NA,10,12,14,21,23,11,26,17,NA,NA,"2019-05-11-RAL-TB","flyers"
"Outlaws",25,24,216,234,NA,NA,7,18,18,27,32,6,26,13,NA,NA,"2019-05-11-OTT-TOR","outlaws"
"Rush",25,24,233,250,NA,NA,12,17,18,26,31,7,27,13,NA,NA,"2019-05-11-OTT-TOR","rush"
"Wind Chill",19,20,309,323,NA,NA,8,14,16,21,23,4,22,13,NA,NA,"2019-05-11-MIN-MAD","windchill"
"Radicals",19,20,232,247,NA,NA,10,15,15,22,30,4,21,6,NA,NA,"2019-05-11-MIN-MAD","radicals"
"Breeze",26,25,289,304,NA,NA,7,15,21,29,36,4,28,9,NA,NA,"2019-05-11-DC-NY","breeze"
"Empire",26,25,308,324,NA,NA,10,16,23,28,33,3,29,13,NA,NA,"2019-05-11-DC-NY","empire"
"Legion",21,25,212,226,NA,NA,14,14,16,23,26,9,27,17,NA,NA,"2019-05-11-DAL-AUS","legion"
"Sol",21,25,235,255,NA,NA,10,20,15,27,32,6,23,9,NA,NA,"2019-05-11-DAL-AUS","sol"
"Union",21,18,222,241,NA,NA,10,19,16,23,31,2,20,7,NA,NA,"2019-05-11-CHI-PIT","union"
"Thunderbirds",21,18,294,309,NA,NA,8,15,14,20,23,7,23,15,NA,NA,"2019-05-11-CHI-PIT","thunderbirds"
"AlleyCats",22,27,307,321,NA,NA,5,14,20,29,32,2,24,7,NA,NA,"2019-05-11-ATL-IND","alleycats"
"Hustle",22,27,255,263,NA,NA,8,8,21,24,28,6,29,10,NA,NA,"2019-05-11-ATL-IND","hustle"
"Outlaws",21,16,202,235,NA,NA,12,33,11,23,33,5,18,19,NA,NA,"2019-05-05-OTT-PHI","outlaws"
"Phoenix",21,16,217,245,NA,NA,18,28,12,18,31,9,23,21,NA,NA,"2019-05-05-OTT-PHI","phoenix"
"Mechanix",22,31,262,290,NA,NA,6,28,18,33,39,4,25,12,NA,NA,"2019-05-05-MIN-DET","mechanix"
"Wind Chill",22,31,223,241,NA,NA,13,18,20,24,32,11,33,20,NA,NA,"2019-05-05-MIN-DET","windchill"
"Flyers",23,18,273,293,NA,NA,14,20,14,20,29,9,25,17,NA,NA,"2019-05-05-AUS-RAL","flyers"
"Sol",23,18,202,228,NA,NA,8,26,14,25,32,4,20,15,NA,NA,"2019-05-05-AUS-RAL","sol"
"Growlers",25,21,231,253,NA,NA,12,22,17,27,34,4,23,10,NA,NA,"2019-05-04-SD-SEA","growlers"
"Cascades",25,21,299,315,NA,NA,12,16,18,23,28,7,27,17,NA,NA,"2019-05-04-SD-SEA","cascades"
"Breeze",24,15,247,259,NA,NA,11,12,16,17,22,8,26,16,NA,NA,"2019-05-04-OTT-DC","breeze"
"Outlaws",24,15,255,275,NA,NA,5,20,15,26,34,0,17,5,NA,NA,"2019-05-04-OTT-DC","outlaws"
"Royal",21,16,239,259,NA,NA,7,20,14,23,34,2,18,6,NA,NA,"2019-05-04-MTL-TOR","royal"
"Rush",21,16,250,266,NA,NA,12,16,15,18,21,6,23,20,NA,NA,"2019-05-04-MTL-TOR","rush"
"Wind Chill",23,17,236,256,NA,NA,9,20,14,25,30,3,19,8,NA,NA,"2019-05-04-MIN-CHI","windchill"
"Union",23,17,297,310,NA,NA,11,13,14,19,23,9,25,16,NA,NA,"2019-05-04-MIN-CHI","union"
"Aviators",16,25,272,287,NA,NA,13,15,14,18,24,11,27,19,NA,NA,"2019-05-04-LA-SJ","aviators"
"Spiders",16,25,209,233,NA,NA,8,24,13,27,33,3,18,9,NA,NA,"2019-05-04-LA-SJ","spiders"
"Thunderbirds",16,19,195,214,NA,NA,6,19,13,21,29,3,18,8,NA,NA,"2019-05-04-IND-PIT","thunderbirds"
"AlleyCats",16,19,246,261,NA,NA,10,15,13,18,22,6,21,14,NA,NA,"2019-05-04-IND-PIT","alleycats"
"Hustle",23,19,266,278,NA,NA,8,12,15,21,22,8,25,17,NA,NA,"2019-05-04-AUS-ATL","hustle"
"Sol",23,19,265,282,NA,NA,4,17,15,25,32,4,21,5,NA,NA,"2019-05-04-AUS-ATL","sol"
"Empire",23,19,290,303,NA,NA,9,13,16,21,25,7,25,13,NA,NA,"2019-04-28-MTL-NY","empire"
"Royal",23,19,233,248,NA,NA,10,15,14,25,29,5,21,9,NA,NA,"2019-04-28-MTL-NY","royal"
"Rush",13,19,185,217,NA,NA,15,32,8,15,25,11,21,30,NA,NA,"2019-04-27-TOR-OTT","rush"
"Outlaws",13,19,147,188,NA,NA,15,41,7,21,38,6,15,16,NA,NA,"2019-04-27-TOR-OTT","outlaws"
"Aviators",25,19,233,245,NA,NA,13,12,17,21,25,8,27,14,NA,NA,"2019-04-27-SEA-LA","aviators"
"Cascades",25,19,250,271,NA,NA,6,21,18,26,34,1,21,6,NA,NA,"2019-04-27-SEA-LA","cascades"
"Hustle",15,21,274,293,NA,NA,5,19,12,23,29,3,17,8,NA,NA,"2019-04-27-RAL-ATL","hustle"
"Flyers",15,21,271,284,NA,NA,8,13,13,17,21,8,23,17,NA,NA,"2019-04-27-RAL-ATL","flyers"
"Wind Chill",25,22,233,258,NA,NA,15,25,17,24,30,8,28,22,NA,NA,"2019-04-27-PIT-MIN","windchill"
"Thunderbirds",25,22,232,259,NA,NA,17,27,19,28,42,3,24,10,NA,NA,"2019-04-27-PIT-MIN","thunderbirds"
"Empire",16,25,222,243,NA,NA,19,21,16,18,29,9,27,18,NA,NA,"2019-04-27-NY-PHI","empire"
"Phoenix",16,25,225,256,NA,NA,11,31,15,27,36,1,18,13,NA,NA,"2019-04-27-NY-PHI","phoenix"
"Mechanix",16,19,239,259,NA,NA,11,20,15,21,30,1,19,7,NA,NA,"2019-04-27-IND-DET","mechanix"
"AlleyCats",16,19,236,252,NA,NA,7,16,15,18,23,4,21,15,NA,NA,"2019-04-27-IND-DET","alleycats"
"Growlers",20,18,228,242,NA,NA,11,14,14,20,25,6,22,12,NA,NA,"2019-04-26-SEA-SD","growlers"
"Cascades",20,18,288,304,NA,NA,8,16,14,22,27,4,20,9,NA,NA,"2019-04-26-SEA-SD","cascades"
"Growlers",16,21,195,220,NA,NA,15,25,12,18,24,9,23,25,NA,NA,"2019-04-20-SD-SJ","growlers"
"Spiders",16,21,244,273,NA,NA,12,29,10,23,36,6,18,12,NA,NA,"2019-04-20-SD-SJ","spiders"
"Thunderbirds",26,17,363,382,NA,NA,6,19,17,28,32,0,19,4,NA,NA,"2019-04-20-PIT-MAD","thunderbirds"
"Radicals",26,17,218,226,NA,NA,12,8,18,19,23,8,28,15,NA,NA,"2019-04-20-PIT-MAD","radicals"
"Phoenix",20,18,222,248,NA,NA,10,26,14,22,35,4,20,13,NA,NA,"2019-04-20-PHI-DC","phoenix"
"Breeze",20,18,212,238,NA,NA,9,26,14,20,27,6,22,19,NA,NA,"2019-04-20-PHI-DC","breeze"
"Aviators",20,24,197,214,NA,NA,11,17,14,22,29,10,26,16,NA,NA,"2019-04-20-LA-SEA","aviators"
"Cascades",20,24,278,301,NA,NA,7,23,15,26,31,5,22,12,NA,NA,"2019-04-20-LA-SEA","cascades"
"AlleyCats",26,22,226,244,NA,NA,14,18,17,24,29,9,28,18,NA,NA,"2019-04-20-DET-IND","alleycats"
"Mechanix",26,22,238,261,NA,NA,7,23,18,28,34,4,25,12,NA,NA,"2019-04-20-DET-IND","mechanix"
"Union",25,26,273,289,NA,NA,9,16,18,27,32,8,28,13,NA,NA,"2019-04-20-CHI-MIN","union"
"Wind Chill",25,26,277,296,NA,NA,11,19,18,28,32,7,27,13,NA,NA,"2019-04-20-CHI-MIN","windchill"
"Sol",21,17,235,262,NA,NA,8,27,15,23,30,2,19,14,NA,NA,"2019-04-20-AUS-DAL","sol"
"Legion",21,17,172,193,NA,NA,14,21,14,19,31,7,23,15,NA,NA,"2019-04-20-AUS-DAL","legion"
"Hustle",17,14,196,213,NA,NA,8,17,11,19,25,3,16,9,NA,NA,"2019-04-20-ATL-TB","hustle"
"Cannons",17,14,327,342,NA,NA,7,15,12,16,21,5,19,13,NA,NA,"2019-04-20-ATL-TB","cannons"
"Radicals",20,22,304,316,NA,NA,8,12,16,22,28,6,24,9,NA,NA,"2019-04-14-MAD-IND","radicals"
"AlleyCats",20,22,260,275,NA,NA,6,15,16,24,25,4,22,11,NA,NA,"2019-04-14-MAD-IND","alleycats"
"Spiders",25,24,307,323,NA,NA,7,16,18,27,32,6,26,10,NA,NA,"2019-04-13-SJ-SD","spiders"
"Growlers",25,24,211,229,NA,NA,11,18,19,26,30,6,27,14,NA,NA,"2019-04-13-SJ-SD","growlers"
"Flyers",21,24,346,356,NA,NA,6,10,17,23,26,6,25,9,NA,NA,"2019-04-13-RAL-ATL","flyers"
"Hustle",21,24,254,266,NA,NA,9,12,17,25,28,4,23,8,NA,NA,"2019-04-13-RAL-ATL","hustle"
"Empire",21,18,279,289,NA,NA,8,10,12,20,22,9,23,12,NA,NA,"2019-04-13-DC-NY","empire"
"Breeze",21,18,258,273,NA,NA,10,15,13,23,26,5,20,8,NA,NA,"2019-04-13-DC-NY","breeze"
"Sol",19,17,147,194,NA,NA,13,47,11,20,39,8,21,30,NA,NA,"2019-04-13-DAL-AUS","sol"
"Legion",19,17,206,255,NA,NA,28,49,12,21,44,5,20,27,NA,NA,"2019-04-13-DAL-AUS","legion"
"Spiders",22,18,220,240,NA,NA,4,20,15,24,29,3,20,11,NA,NA,"2019-04-12-SJ-LA","spiders"
"Aviators",22,18,201,215,NA,NA,16,14,14,20,27,8,24,13,NA,NA,"2019-04-12-SJ-LA","aviators"
"Cascades",27,28,294,318,NA,NA,13,24,20,31,37,7,29,15,NA,NA,"2019-04-06-SJ-SEA","cascades"
"Spiders",27,28,305,326,NA,NA,14,21,20,29,37,8,31,16,NA,NA,"2019-04-06-SJ-SEA","spiders"
"Sol",18,22,230,249,NA,NA,7,19,14,24,29,4,20,10,NA,NA,"2019-04-06-RAL-AUS","sol"
"Flyers",18,22,267,282,NA,NA,11,15,16,20,26,6,24,15,NA,NA,"2019-04-06-RAL-AUS","flyers"
"Growlers",20,18,259,280,NA,NA,10,21,15,20,24,5,22,19,NA,NA,"2019-04-06-LA-SD","growlers"
"Aviators",20,18,235,256,NA,NA,8,21,14,22,34,4,20,8,NA,NA,"2019-04-06-LA-SD","aviators"
"Cannons",18,17,369,386,NA,NA,10,17,13,19,26,5,20,11,NA,NA,"2019-04-06-ATL-TB","cannons"
"Hustle",18,17,175,192,NA,NA,6,17,12,20,25,5,19,12,NA,NA,"2019-04-06-ATL-TB","hustle"
"Legion",19,17,236,255,NA,NA,14,19,13,19,22,6,21,19,NA,NA,"2019-04-05-RAL-DAL","legion"
"Flyers",19,17,204,226,NA,NA,5,22,12,21,32,5,19,8,NA,NA,"2019-04-05-RAL-DAL","flyers"
"Legion",20,16,336,353,NA,NA,6,17,14,22,28,2,18,8,NA,NA,"2018-08-12-DAL-MAD","legion"
"Radicals",20,16,194,208,NA,NA,11,14,14,18,23,6,22,13,NA,NA,"2018-08-12-DAL-MAD","radicals"
"Empire",32,30,240,256,NA,NA,9,16,24,34,38,6,32,9,NA,NA,"2018-08-11-NY-DAL","empire"
"Legion",32,30,285,297,NA,NA,9,12,24,32,34,8,34,14,NA,NA,"2018-08-11-NY-DAL","legion"
"Aviators",24,19,282,304,NA,NA,8,22,13,26,32,6,21,11,NA,NA,"2018-08-11-LA-MAD","aviators"
"Radicals",24,19,307,324,NA,NA,14,17,15,21,26,9,26,17,NA,NA,"2018-08-11-LA-MAD","radicals"
"Flyers",20,19,204,230,NA,NA,14,26,12,22,30,7,21,17,NA,NA,"2018-07-28-RAL-DAL","flyers"
"Legion",20,19,257,282,NA,NA,8,25,12,21,31,8,22,16,NA,NA,"2018-07-28-RAL-DAL","legion"
"Rush",17,18,246,273,NA,NA,15,27,11,20,30,6,20,16,NA,NA,"2018-07-28-NY-TOR","rush"
"Empire",17,18,253,279,NA,NA,14,26,11,19,27,7,20,19,NA,NA,"2018-07-28-NY-TOR","empire"
